ITEM  SCL SDA
0   1   1
1   1   1
2   1   0
3   0   0
4   0   0
5   1   0
6   0   0
7   0   0
8   1   0
9   0   0
10   0   1
11   1   1
12   0   1
13   0   1
14   1   1
15   0   1
16   0   0
17   1   0
18   0   0
19   0   1
20   1   1
21   0   1
22   0   0
23   1   0
24   0   0
25   0   0
26   1   0
27   0   0
28   0   1
29   1   1
30   0   1
31   1   1
32   1   1
33   1   0
34   0   0
35   0   0
36   1   0
37   0   0
38   0   0
39   1   0
40   0   0
41   0   1
42   1   1
43   0   1
44   0   1
45   1   1
46   0   1
47   0   0
48   1   0
49   0   0
50   0   1
51   1   1
52   0   1
53   0   0
54   1   0
55   0   0
56   0   0
57   1   0
58   0   0
59   0   0
60   1   0
61   0   0
62   0   0
63   1   0
64   0   0
65   0   1
66   1   1
67   0   1
68   0   0
69   1   0
70   0   0
71   0   1
72   1   1
73   0   1
74   0   0
75   1   0
76   0   0
77   0   1
78   1   1
79   0   1
80   0   0
81   1   0
82   0   0
83   0   1
84   1   1
85   0   1
86   0   1
87   1   1
88   0   1
89   1   1
90   1   1
91   1   0
92   0   0
93   0   0
94   1   0
95   0   0
96   0   0
97   1   0
98   0   0
99   0   1
100   1   1
101   0   1
102   0   1
103   1   1
104   0   1
105   0   0
106   1   0
107   0   0
108   0   1
109   1   1
110   0   1
111   0   0
112   1   0
113   0   0
114   0   0
115   1   0
116   0   0
117   0   0
118   1   0
119   0   0
120   0   1
121   1   1
122   0   1
123   0   0
124   1   0
125   0   0
126   0   1
127   1   1
128   0   1
129   0   0
130   1   0
131   0   0
132   0   1
133   1   1
134   0   1
135   0   0
136   1   0
137   0   0
138   0   1
139   1   1
140   0   1
141   0   0
142   1   0
143   0   0
144   0   0
145   1   0
146   0   0
147   0   0
148   1   0
149   1   1
