ITEM  SCL SDA
0   1   1
1   1   1
2   1   0
3   0   0
4   0   0
5   1   0
6   0   0
7   0   0
8   1   0
9   0   0
10   0   0
11   1   0
12   0   0
13   0   1
14   1   1
15   0   1
16   0   0
17   1   0
18   0   0
19   0   1
20   1   1
21   0   1
22   0   0
23   1   0
24   0   0
25   0   0
26   1   0
27   0   0
28   0   0
29   1   0
30   0   0
31   0   0
32   1   0
33   0   0
34   0   0
35   1   0
36   0   0
37   0   0
38   1   0
39   0   0
40   0   0
41   1   0
42   0   0
43   0   0
44   1   0
45   0   0
46   0   0
47   1   0
48   0   0
49   0   0
50   1   0
51   0   0
52   0   0
53   1   0
54   0   0
55   0   1
56   1   1
57   0   1
58   1   1
59   1   1
60   1   0
61   0   0
62   0   0
63   1   0
64   0   0
65   0   0
66   1   0
67   0   0
68   0   0
69   1   0
70   0   0
71   0   1
72   1   1
73   0   1
74   0   0
75   1   0
76   0   0
77   0   1
78   1   1
79   0   1
80   0   0
81   1   0
82   0   0
83   0   0
84   1   0
85   0   0
86   0   0
87   1   0
88   0   0
89   0   0
90   1   0
91   0   0
92   0   0
93   1   0
94   0   0
95   0   0
96   1   0
97   0   0
98   0   0
99   1   0
100   0   0
101   0   0
102   1   0
103   0   0
104   0   0
105   1   0
106   0   0
107   0   0
108   1   0
109   0   0
110   0   0
111   1   0
112   0   0
113   0   0
114   1   0
115   0   0
116   0   0
117   1   0
118   1   1
119   1   1
120   1   1
121   1   0
122   0   0
123   0   0
124   1   0
125   0   0
126   0   0
127   1   0
128   0   0
129   0   1
130   1   1
131   0   1
132   0   1
133   1   1
134   0   1
135   0   0
136   1   0
137   0   0
138   0   1
139   1   1
140   0   1
141   0   0
142   1   0
143   0   0
144   0   0
145   1   0
146   0   0
147   0   0
148   1   0
149   0   0
150   0   0
151   1   0
152   0   0
153   0   0
154   1   0
155   0   0
156   0   0
157   1   0
158   0   0
159   0   0
160   1   0
161   0   0
162   0   0
163   1   0
164   0   0
165   0   0
166   1   0
167   0   0
168   0   0
169   1   0
170   0   0
171   0   1
172   1   1
173   0   1
174   0   1
175   1   1
176   0   1
177   1   1
178   1   1
179   1   0
180   0   0
181   0   0
182   1   0
183   0   0
184   0   0
185   1   0
186   0   0
187   0   1
188   1   1
189   0   1
190   0   1
191   1   1
192   0   1
193   0   0
194   1   0
195   0   0
196   0   1
197   1   1
198   0   1
199   0   0
200   1   0
201   0   0
202   0   0
203   1   0
204   0   0
205   0   0
206   1   0
207   0   0
208   0   0
209   1   0
210   0   0
211   0   0
212   1   0
213   0   0
214   0   0
215   1   0
216   0   0
217   0   0
218   1   0
219   0   0
220   0   0
221   1   0
222   0   0
223   0   0
224   1   0
225   0   0
226   0   0
227   1   0
228   0   0
229   0   1
230   1   1
231   0   1
232   0   0
233   1   0
234   0   0
235   0   0
236   1   0
237   1   1
238   1   1
239   1   1
240   1   0
241   0   0
242   0   0
243   1   0
244   0   0
245   0   0
246   1   0
247   0   0
248   0   1
249   1   1
250   0   1
251   0   1
252   1   1
253   0   1
254   0   0
255   1   0
256   0   0
257   0   1
258   1   1
259   0   1
260   0   1
261   1   1
262   0   1
263   0   0
264   1   0
265   0   0
266   0   0
267   1   0
268   0   0
269   0   0
270   1   0
271   0   0
272   0   0
273   1   0
274   0   0
275   0   0
276   1   0
277   0   0
278   0   1
279   1   1
280   0   1
281   0   0
282   1   0
283   0   0
284   0   0
285   1   0
286   0   0
287   0   0
288   1   0
289   0   0
290   0   0
291   1   0
292   0   0
293   0   1
294   1   1
295   0   1
296   1   1
297   1   1
298   1   0
299   0   0
300   0   0
301   1   0
302   0   0
303   0   0
304   1   0
305   0   0
306   0   1
307   1   1
308   0   1
309   0   1
310   1   1
311   0   1
312   0   0
313   1   0
314   0   0
315   0   1
316   1   1
317   0   1
318   0   1
319   1   1
320   0   1
321   0   0
322   1   0
323   0   0
324   0   0
325   1   0
326   0   0
327   0   0
328   1   0
329   0   0
330   0   0
331   1   0
332   0   0
333   0   0
334   1   0
335   0   0
336   0   1
337   1   1
338   0   1
339   0   0
340   1   0
341   0   0
342   0   0
343   1   0
344   0   0
345   0   0
346   1   0
347   0   0
348   0   0
349   1   0
350   0   0
351   0   0
352   1   0
353   0   0
354   0   0
355   1   0
356   1   1
357   1   1
358   1   1
359   1   0
360   0   0
361   0   0
362   1   0
363   0   0
364   0   1
365   1   1
366   0   1
367   0   0
368   1   0
369   0   0
370   0   1
371   1   1
372   0   1
373   0   0
374   1   0
375   0   0
376   0   1
377   1   1
378   0   1
379   0   1
380   1   1
381   0   1
382   0   0
383   1   0
384   0   0
385   0   0
386   1   0
387   0   0
388   0   0
389   1   0
390   0   0
391   0   0
392   1   0
393   0   0
394   0   1
395   1   1
396   0   1
397   0   0
398   1   0
399   0   0
400   0   0
401   1   0
402   0   0
403   0   0
404   1   0
405   0   0
406   0   0
407   1   0
408   0   0
409   0   0
410   1   0
411   0   0
412   0   1
413   1   1
414   0   1
415   1   1
416   1   1
417   1   0
418   0   0
419   0   0
420   1   0
421   0   0
422   0   1
423   1   1
424   0   1
425   0   0
426   1   0
427   0   0
428   0   1
429   1   1
430   0   1
431   0   0
432   1   0
433   0   0
434   0   1
435   1   1
436   0   1
437   0   1
438   1   1
439   0   1
440   0   0
441   1   0
442   0   0
443   0   0
444   1   0
445   0   0
446   0   0
447   1   0
448   0   0
449   0   0
450   1   0
451   0   0
452   0   1
453   1   1
454   0   1
455   0   0
456   1   0
457   0   0
458   0   0
459   1   0
460   0   0
461   0   0
462   1   0
463   0   0
464   0   0
465   1   0
466   0   0
467   0   0
468   1   0
469   0   0
470   0   0
471   1   0
472   0   0
473   0   0
474   1   0
475   1   1
476   1   1
477   1   1
478   1   0
479   0   0
480   0   1
481   1   1
482   0   1
483   0   0
484   1   0
485   0   0
486   0   0
487   1   0
488   0   0
489   0   1
490   1   1
491   0   1
492   0   0
493   1   0
494   0   0
495   0   1
496   1   1
497   0   1
498   0   0
499   1   0
500   0   0
501   0   1
502   1   1
503   0   1
504   0   1
505   1   1
506   0   1
507   1   1
508   1   1
509   1   0
510   0   0
511   0   1
512   1   1
513   0   1
514   0   0
515   1   0
516   0   0
517   0   0
518   1   0
519   0   0
520   0   1
521   1   1
522   0   1
523   0   0
524   1   0
525   0   0
526   0   1
527   1   1
528   0   1
529   0   0
530   1   0
531   0   0
532   0   1
533   1   1
534   0   1
535   0   0
536   1   0
537   0   0
538   0   0
539   1   0
540   0   0
541   0   0
542   1   0
543   0   0
544   0   0
545   1   0
546   0   0
547   0   1
548   1   1
549   0   1
550   0   0
551   1   0
552   0   0
553   0   0
554   1   0
555   0   0
556   0   0
557   1   0
558   0   0
559   0   1
560   1   1
561   0   1
562   0   0
563   1   0
564   0   0
565   0   0
566   1   0
567   1   1
568   1   1
569   1   1
570   1   0
571   0   0
572   0   1
573   1   1
574   0   1
575   0   0
576   1   0
577   0   0
578   0   0
579   1   0
580   0   0
581   0   1
582   1   1
583   0   1
584   0   0
585   1   0
586   0   0
587   0   1
588   1   1
589   0   1
590   0   1
591   1   1
592   0   1
593   0   1
594   1   1
595   0   1
596   0   1
597   1   1
598   0   1
599   1   1
600   1   1
601   1   0
602   0   0
603   0   1
604   1   1
605   0   1
606   0   0
607   1   0
608   0   0
609   0   0
610   1   0
611   0   0
612   0   1
613   1   1
614   0   1
615   0   0
616   1   0
617   0   0
618   0   1
619   1   1
620   0   1
621   0   1
622   1   1
623   0   1
624   0   1
625   1   1
626   0   1
627   0   0
628   1   0
629   0   0
630   0   0
631   1   0
632   0   0
633   0   0
634   1   0
635   0   0
636   0   1
637   1   1
638   0   1
639   0   0
640   1   0
641   0   0
642   0   0
643   1   0
644   0   0
645   0   0
646   1   0
647   0   0
648   0   1
649   1   1
650   0   1
651   0   0
652   1   0
653   0   0
654   0   0
655   1   0
656   0   0
657   0   0
658   1   0
659   1   1
660   1   1
661   1   1
662   1   0
663   0   0
664   0   1
665   1   1
666   0   1
667   0   0
668   1   0
669   0   0
670   0   0
671   1   0
672   0   0
673   0   1
674   1   1
675   0   1
676   0   1
677   1   1
678   0   1
679   0   0
680   1   0
681   0   0
682   0   0
683   1   0
684   0   0
685   0   1
686   1   1
687   0   1
688   0   1
689   1   1
690   0   1
691   1   1
692   1   1
693   1   0
694   0   0
695   0   1
696   1   1
697   0   1
698   0   0
699   1   0
700   0   0
701   0   0
702   1   0
703   0   0
704   0   1
705   1   1
706   0   1
707   0   1
708   1   1
709   0   1
710   0   0
711   1   0
712   0   0
713   0   0
714   1   0
715   0   0
716   0   1
717   1   1
718   0   1
719   0   0
720   1   0
721   0   0
722   0   0
723   1   0
724   0   0
725   0   1
726   1   1
727   0   1
728   0   0
729   1   0
730   0   0
731   0   0
732   1   0
733   0   0
734   0   0
735   1   0
736   0   0
737   0   1
738   1   1
739   0   1
740   0   0
741   1   0
742   0   0
743   0   0
744   1   0
745   0   0
746   0   0
747   1   0
748   0   0
749   0   0
750   1   0
751   1   1
752   1   1
753   1   1
754   1   0
755   0   0
756   0   1
757   1   1
758   0   1
759   0   0
760   1   0
761   0   0
762   0   0
763   1   0
764   0   0
765   0   1
766   1   1
767   0   1
768   0   1
769   1   1
770   0   1
771   0   0
772   1   0
773   0   0
774   0   1
775   1   1
776   0   1
777   0   1
778   1   1
779   0   1
780   0   0
781   1   0
782   0   0
783   0   0
784   1   0
785   0   0
786   0   1
787   1   1
788   0   1
789   0   1
790   1   1
791   0   1
792   0   0
793   1   0
794   0   0
795   0   0
796   1   0
797   0   0
798   0   1
799   1   1
800   0   1
801   0   1
802   1   1
803   0   1
804   0   0
805   1   0
806   0   0
807   0   0
808   1   0
809   0   0
810   0   0
811   1   0
812   1   1
813   1   1
814   1   1
815   1   0
816   0   0
817   0   1
818   1   1
819   0   1
820   0   0
821   1   0
822   0   0
823   0   0
824   1   0
825   0   0
826   0   1
827   1   1
828   0   1
829   0   1
830   1   1
831   0   1
832   0   1
833   1   1
834   0   1
835   0   0
836   1   0
837   0   0
838   0   1
839   1   1
840   0   1
841   0   0
842   1   0
843   0   0
844   0   0
845   1   0
846   0   0
847   0   1
848   1   1
849   0   1
850   0   1
851   1   1
852   0   1
853   0   1
854   1   1
855   0   1
856   0   0
857   1   0
858   0   0
859   0   1
860   1   1
861   0   1
862   0   1
863   1   1
864   0   1
865   0   1
866   1   1
867   0   1
868   0   0
869   1   0
870   0   0
871   0   0
872   1   0
873   1   1
