ITEM  SCL SDA
0   1   1
1   1   1
2   1   0
3   0   0
4   0   0
5   1   0
6   0   0
7   0   0
8   1   0
9   0   0
10   0   1
11   1   1
12   0   1
13   0   1
14   1   1
15   0   1
16   0   0
17   1   0
18   0   0
19   0   1
20   1   1
21   0   1
22   0   0
23   1   0
24   0   0
25   0   0
26   1   0
27   0   0
28   0   0
29   1   0
30   0   0
31   0   0
32   1   0
33   0   0
34   0   1
35   1   1
36   0   1
37   0   0
38   1   0
39   0   0
40   0   1
41   1   1
42   0   1
43   0   0
44   1   0
45   0   0
46   0   1
47   1   1
48   0   1
49   0   0
50   1   0
51   0   0
52   0   1
53   1   1
54   0   1
55   0   0
56   1   0
57   0   0
58   0   0
59   1   0
60   1   1
61   1   1
62   1   1
63   1   0
64   0   0
65   0   0
66   1   0
67   0   0
68   0   0
69   1   0
70   0   0
71   0   1
72   1   1
73   0   1
74   0   1
75   1   1
76   0   1
77   0   0
78   1   0
79   0   0
80   0   1
81   1   1
82   0   1
83   0   0
84   1   0
85   0   0
86   0   1
87   1   1
88   0   1
89   0   0
90   1   0
91   0   0
92   0   1
93   1   1
94   0   1
95   0   0
96   1   0
97   0   0
98   0   1
99   1   1
100   0   1
101   0   0
102   1   0
103   0   0
104   0   1
105   1   1
106   0   1
107   0   0
108   1   0
109   0   0
110   0   1
111   1   1
112   0   1
113   0   0
114   1   0
115   0   0
116   0   0
117   1   0
118   0   0
119   0   0
120   1   0
121   1   1
